market,funding_total_usd,region,city,funding_rounds,Founding_year,first_funding_year,last_funding_year,first_funding_gap,last_funding_gap,first_last_funding_gap,success
29,72300000,131,432,2,2003,2005,2006,2,3,1,1
327,750000,131,580,1,2005,2007,2007,2,2,0,0
115,750000,131,101,1,2008,2008,2008,0,0,0,0
29,31500000,17,666,3,2006,2009,2012,3,6,3,1
282,2500000,91,405,1,2001,2011,2011,10,10,0,1
29,2608000,140,593,4,2008,2009,2014,1,6,5,0
210,0,131,624,1,2007,2007,2007,0,0,0,1
1,20000000,104,449,1,2005,2009,2009,4,4,0,1
79,1500000,131,486,1,0,2006,2006,0,0,0,1
8,5250000,131,569,2,2009,2010,2011,1,2,1,1
137,3500000,79,362,1,2012,2012,2012,0,0,0,1
309,59700,76,344,4,2010,2010,2011,0,1,1,1
309,6400000,79,203,1,1994,2006,2006,12,12,0,1
115,26000000,102,235,4,2000,2009,2013,9,13,4,1
29,19400000,135,561,2,2002,2005,2007,3,5,2,0
289,29449981,6,299,2,2002,2007,2009,5,7,2,1
289,4025000,17,79,4,2007,2009,2010,2,3,1,0
137,530000,17,74,2,2010,2010,2011,0,1,1,0
210,21000000,131,580,1,2003,2006,2006,3,3,0,0
210,15000000,131,413,1,2005,2008,2008,3,3,0,1
210,15000297,140,593,2,2004,2007,2009,3,5,2,1
29,9715488,116,156,3,2000,2011,2012,11,12,1,0
210,80000000,131,624,2,2005,2006,2008,1,3,2,0
363,27149948,38,76,5,0,2006,2011,0,0,5,0
350,28100000,17,0,6,2008,2007,2012,-1,4,5,1
226,300000,116,308,1,2005,2009,2009,4,4,0,0
289,11999999,131,580,3,2002,2006,2009,4,7,3,1
224,7500000,131,573,2,2005,2005,2006,0,1,1,1
137,7350000,104,449,2,2005,2006,2008,1,3,2,0
309,10000000,131,624,1,0,2009,2009,0,0,0,0
373,1500000,104,449,1,2010,2011,2011,1,1,0,0
203,6250000,104,449,3,0,2009,2010,0,0,1,1
148,6500000,131,580,1,1999,2007,2007,8,8,0,1
137,145000,38,76,1,2009,2009,2009,0,0,0,1
1,1315000,131,569,3,2008,2008,2011,0,3,3,1
29,28561000,86,50,4,1998,2010,2014,12,16,4,0
363,0,79,583,2,2005,2006,2007,1,2,1,0
286,7813005,6,10,1,1997,2009,2009,12,12,0,1
145,100000,120,512,1,2007,2009,2009,2,2,0,0
210,375000,137,567,3,2007,2009,2010,2,3,1,1
244,0,61,288,1,2011,2011,2011,0,0,0,0
68,3550002,104,449,3,2008,2008,2010,0,2,2,1
242,7000000,131,432,1,2013,2014,2014,1,1,0,0
146,15000000,131,624,1,2003,2010,2010,7,7,0,1
192,280000,99,603,1,2010,2010,2010,0,0,0,0
137,1200000,131,242,2,2010,2011,2012,1,2,1,1
129,43500000,131,569,3,2010,2011,2013,1,3,2,1
1,0,79,362,1,2009,2009,2009,0,0,0,0
146,31200000,131,570,2,2005,2010,2013,5,8,3,1
1,10000000,104,449,1,2004,2008,2008,4,4,0,1
198,700000,131,242,1,0,2013,2013,0,0,0,1
12,0,112,485,1,2008,2008,2008,0,0,0,0
144,500000000,79,583,1,2006,2013,2013,7,7,0,1
305,15000000,131,569,1,2005,2006,2006,1,1,0,1
289,69600000,131,580,3,2003,2005,2009,2,6,4,1
346,3250000,104,449,2,2009,2008,2010,-1,1,2,0
309,2540000,131,504,1,0,2006,2006,0,0,0,0
79,6500000,104,449,1,2006,2012,2012,6,6,0,1
309,355000,131,624,1,2012,2012,2012,0,0,0,1
367,500000,104,449,1,2008,2008,2008,0,0,0,0
79,7000000,104,449,1,2008,2005,2005,-3,-3,0,1
301,225000,61,288,2,2007,2011,2011,4,4,0,0
29,4259323,161,697,2,0,2012,2013,0,0,1,1
312,1200000,131,569,1,2000,2007,2007,7,7,0,1
210,12000000,131,486,2,2004,2006,2007,2,3,1,0
210,0,131,101,3,2001,2001,2004,0,3,3,1
220,20250000,131,580,3,2001,2002,2007,1,6,5,1
79,3450000,38,177,1,2005,2007,2007,2,2,0,1
226,38930000,79,164,2,2000,2008,2010,8,10,2,1
309,4200000,104,449,4,2011,2011,2012,0,1,1,1
314,10000,104,706,1,2011,2011,2011,0,0,0,0
47,925000000,131,486,6,2007,2007,2012,0,5,5,1
363,10000000,131,432,1,1999,2005,2005,6,6,0,1
73,100000,79,362,1,2011,2011,2011,0,0,0,0
301,1200000,140,593,1,2007,2007,2007,0,0,0,0
210,87000000,104,449,2,0,2010,2011,0,0,1,0
286,0,137,107,1,1985,2012,2012,27,27,0,1
210,15515000,131,569,2,2012,2013,2013,1,1,0,0
79,250000,110,320,1,2009,2010,2010,1,1,0,0
102,6700000,17,99,3,2003,2010,2013,7,10,3,0
79,0,11,38,1,2009,2009,2009,0,0,0,0
137,95244796,140,593,2,2002,2008,2012,6,10,4,1
350,3400000,79,679,1,2011,2012,2012,1,1,0,1
346,4715359,131,569,5,2008,2011,2013,3,5,2,0
137,150023,11,38,1,0,2009,2009,0,0,0,1
117,10600000,79,608,2,2008,2007,2009,-1,1,2,1
286,8400000,131,208,1,1997,2005,2005,8,8,0,1
145,20750000,131,530,3,2006,2006,2009,0,3,3,1
309,0,30,174,1,1999,2012,2012,13,13,0,1
286,518000,105,527,2,2003,2009,2010,6,7,1,0
235,0,17,99,1,2006,2007,2007,1,1,0,1
312,0,153,669,1,2001,2014,2014,13,13,0,0
224,8000000,131,569,2,0,2008,2009,0,0,1,1
241,100000000,13,368,3,2000,2006,2007,6,7,1,1
102,2428201,140,593,3,0,2011,2014,0,0,3,0
34,500000,91,406,1,2007,2010,2010,3,3,0,0
294,0,131,624,1,2011,2011,2011,0,0,0,0
